names,alito,roberts,stevens,scalia,kennedy,souter,thomas,ginsburg,breyer,alito 
Moore v. United States,1,1,1,1,1,1,1,1,1,
 Brunner v. Ohio Republican Party,1,1,1,1,1,1,1,1,1,
" Winter v. Natural Resources Defense Council, Inc.",1,1,0,1,1,0,1,0,0,
=Bell v. Kelly,1,1,1,1,1,1,1,1,1,
Hedgpeth v. Pulido,1,1,0,1,1,0,1,0,1,
" Altria Group, Inc. v. Good",0,0,1,0,1,1,0,1,1,
 Jimenez v. Quarterman,1,1,1,1,1,1,1,1,1,
Chambers v. United States,0.5,1,1,1,1,1,0.5,1,1,
Herring v. United States,1,1,0,1,1,0,1,0,0,
Oregon v. Ice,1,0,1,0,1,0,0,1,1,
Waddington v. Sarausad,1,1,0,1,1,0,1,0,1,
Locke v. Karass,1,1,1,1,1,1,1,1,1,
Pearson v. Callahan,1,1,1,1,1,1,1,1,1,
 Fitzgerald v. Barnstable School Committee,1,1,1,1,1,1,1,1,1,
Spears v. United States,0,0,1,1,1,1,0,1,1,
Crawford v. Nashville,0.5,1,1,1,1,1,0.5,1,1,
 Kennedy v. Plan Administrator for DuPont Sav. and Investment Plan,1,1,1,1,1,1,1,1,1,
 United States v. Eurodif S. A.,1,1,1,1,1,1,1,1,1,
Arizona v. Johnson,1,1,1,1,1,1,1,1,1,
 Van de Kamp v. Goldstein,1,1,1,1,1,1,1,1,1,
Nelson v. United States,0.5,1,1,1,1,1,1,1,0.5,
 Ysursa v. Pocatello Ed. Assn.,1,1,0,1,1,0,1,1,0,
 Carcieri v. Salazar,1,1,0,1,1,0,1,0,0.5,
United States v. Hayes,1,0,1,0,1,1,1,1,1,
" Pacific Bell Telephone Co. v. linkLine Communications, Inc.",1,1,0.5,1,1,0.5,1,0.5,0.5,
 Pleasant Grove City v. Summum,1,1,1,1,1,0.5,1,1,1,
 Summers v. Earth Island Institute,1,1,0,1,1,0,1,0,0,
Negusie v. Holder,0.5,1,0,1,1,1,0,1,0,
Wyeth v. Levine,0,0,1,0,1,1,0.5,1,1,
Bartlett v. Strickland,1,1,0,0.5,0.5,0,0.5,0,0,
 Vaden v. Discover Bank,0,0,0,1,1,1,1,1,0,
Vermont v. Brillon,1,1,0,1,1,1,1,1,0,
Kansas v. Colorado,1,1,1,1,1,1,1,1,1,
 Knowles v. Mirzayance,1,1,1,1,1,1,1,1,1,
Puckett v. United States,1,1,0,1,1,0,1,1,1,
Rivera v. Illinois,1,1,1,1,1,1,1,1,1,
 Hawaii v. Office of Hawaiian Affairs,1,1,1,1,1,1,1,1,1,
= Philip Morris USA Inc. v. Williams,1,1,1,1,1,1,1,1,1,
Harbison v. Bell,0,0.5,1,0,1,1,0.5,1,1,
" Entergy Corp. v. Riverkeeper, Inc.",1,1,0,1,1,0,1,0,0,
14 Penn Plaza LLC v. Pyett,1,1,0,1,1,0,1,0,0,
 United States v. Navajo Nation,1,1,1,1,1,1,1,1,1,
Corley v. United States,0,0,1,0,1,1,0,1,1,
Arizona v. Gant,0,0,1,1,0,1,1,1,0,
article= Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi,1,1,1,1,1,1,1,1,1,
Shinseki v. Sanders,1,1,0,1,1,0,1,0,1,
Nken v. Holder,0,1,1,1,1,1,0,1,1,
Cone v. Bell,0,0.5,1,0,1,1,0,1,1,
article=Federal Communications Commission v. Fox Television Stations (2009),1,1,0,0,1,0,1,0,0,
Dean v. United States,0,1,0,0,1,1,1,1,0,
Kansas v. Ventris,1,1,1,1,1,1,1,0,1,
 Burlington N. & S. F. R. Co. v. United States,1,1,1,1,1,1,1,0,1,
 Arthur Andersen LLP v. Carlisle,1,0,0,0,1,0,0,1,1,
" Carlsbad Technology, Inc. v. HIF Bio, Inc.",1,1,1,1,1,1,1,1,1,
 Flores-Figueroa v. United States,0.5,1,1,1,1,1,1,1,1,
Ashcroft v. Iqbal,0,1,1,1,1,0,0,0,0,
 AT&T Corp. v. Hulteen,0,1,1,1,1,1,1,0,0,
Montejo v. Louisiana,0,1,1,1,1,0,0,0,0,
Haywood v. Drown,1,0,0,0,1,1,1,1,1,
 Abuelhawa v. United States,1,1,1,1,1,1,1,1,1,
Bobby v. Bies,1,1,1,1,1,1,1,1,1,
" CSX Transp., Inc. v. Hensley",1,1,1,1,1,1,1,0,1,
Republic of Iraq v. Beaty,1,1,1,1,1,1,1,1,1,
 Caperton v. A. T. Massey Coal Co.,1,0,1,0,1,1,1,1,1,
United States v. Denedo,1,0,0,0,1,1,1,1,1,
 United States ex rel. Eisenstein v. City of New York,1,1,1,1,1,1,1,1,1,
Boyle v. United States,1,1,0,0,1,1,1,1,0,
 Indiana State Police Pension Trust v. Chrysler LLC,1,1,1,1,1,1,1,1,1,
" Polar Tankers, Inc. v. City of Valdez",1,0.5,0.5,0.5,1,0,0,1,1,
 Nijhawan v. Holder,1,1,1,1,1,1,1,1,1,
 District Attorney's Office for Third Judicial Dist. v. Osborne,0,1,0,0,1,0,0,0,0,
Yeager v. United States,0,1,1,0,1,1,1,1,1,
 Travelers Indemnity Co. v. Bailey,1,1,1,1,1,1,1,0,1,
" Gross v. FBL Financial Services, Inc.",0,1,1,1,1,0,0,0,0,
 Northwest Austin Municipal Util. Dist. No. One v. Holder,1,1,1,1,1,1,0,1,1,
 Forest Grove School Dist. v. T. A.,1,1,1,1,1,0,0,1,1,
" Coeur Alaska, Inc. v. Southeast Alaska Conservation Council",1,1,1,1,1,0,0,0,1,
 Melendez-Diaz v. Massachusetts,0,0,0,0,0,1,1,1,0,
 Safford Unified School Dist. #1 v. Redding,1,1,1,1,1,1,1,1,1,
 Atlantic Sounding Co. v. Townsend,1,0,0,0,0,1,1,1,1,
Horne v. Flores,0,1,1,1,1,0,0,0,0,
" Cuomo v. Clearing House Assn., L. L. C.",1,0,0,0,0,1,1,1,1,
 Ricci v. DeStefano,0,1,1,1,1,0,1,0,0,
