names,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan,,,roberts,scalia,kennedy,thomas,ginsburg,breyer,alito,sotomayor,kagan
Lopez v. Smith,1,1,1,1,1,1,1,1,1,,roberts,75,58,49,46,48,52,54,50,47
Johnson v. City of Shelby,1,1,1,1,1,1,1,1,1,,scalia,58,75,47,56,42,42,52,40,45
Carroll v. Carman,1,1,1,1,1,1,1,1,1,,kennedy,49,47,75,43,56,58,50,60,59
Glebe v. Frost,1,1,1,1,1,1,1,1,1,,thomas,46,56,43,75,37,33,58,31,34
"Integrity Staffing Solutions, Inc. v. Busk ",1,1,1,1,1,1,1,1,1,,ginsburg,48,42,56,37,75,68,38,64,69
Warger v. Shauers,1,1,1,1,1,1,1,1,1,,breyer,52,42,58,33,68,75,43,68,69
Heien v. North Carolina,1,1,1,1,1,1,1,0,1,,alito,54,52,50,58,38,43,75,41,39
Dart Cherokee Basin Operating Co. v. Owens,1,0,0,0,1,1,1,1,0,,sotomayor,50,40,60,31,64,68,41,75,65
"Jesinoski v. Countrywide Home Loans, Inc.",1,1,1,1,1,1,1,1,1,,kagan,47,45,59,34,69,69,39,65,75
Whitfield v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Jennings v. Stephens,1,1,0,0,1,1,0,1,1,,,,,,,,,,,
"T-Mobile South, LLC v. City of Roswell",0,1,1,0,0,1,1,1,1,,,,,,,,,,,
"Teva Pharmaceuticals USA, Inc. v. Sandoz, Inc.",1,1,1,0,1,1,0,1,1,,,,,,,,,,,
Holt v. Hobbs,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Christeson v. Roper,1,1,1,0,1,1,0,1,1,,,,,,,,,,,
Department of Homeland Security v. MacLean,1,1,0,1,1,1,1,0,1,,,,,,,,,,,
Gelboim v. Bank of America Corp.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
"Hana Financial, Inc. v. Hana Bank",1,1,1,1,1,1,1,1,1,,,,,,,,,,,
"M&G Polymers USA, LLC v. Tackett",1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Kansas v. Nebraska,1,0,1,0,1,1,0,1,1,,,,,,,,,,,
North Carolina Bd. of Dental Examiners v. FTC,1,0,1,0,1,1,0,1,1,,,,,,,,,,,
article=Yates v. United States (2015),1,0,0,0,0,1,0.5,1,0,,,,,,,,,,,
Direct Marketing Assn. v. Brohl,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
"Alabama Dept. of Revenue v. CSX Transp., Inc.",1,1,1,0,0,1,1,1,1,,,,,,,,,,,
article=Department of Transportation v. Association of American Railroads,1,1,1,0.5,1,1,1,1,1,,,,,,,,,,,
Perez v. Mortgage Bankers Assn.,1,0.5,1,0.5,1,1,1,1,1,,,,,,,,,,,
"B&B Hardware, Inc. v. Hargis Industries, Inc.",1,0,1,0,1,1,1,1,1,,,,,,,,,,,
"article=Omnicare, Inc. v. Laborers Dist. Council Constr. Industry Pension Fund",1,0.5,1,0.5,1,1,1,1,1,,,,,,,,,,,
"Young v. United Parcel Service, Inc.",1,0,0,0,1,1,0.5,1,1,,,,,,,,,,,
Alabama Legislative Black Caucus v. Alabama,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
Grady v. North Carolina,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Woods v. Donald,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
"Armstrong v. Exceptional Child Center, Inc.",1,1,0,1,0,1,1,0,0,,,,,,,,,,,
Rodriguez v. United States,1,1,0,0,1,1,0,1,1,,,,,,,,,,,
"Oneok, Inc. v. Learjet, Inc.",0,0,1,1,1,1,1,1,1,,,,,,,,,,,
United States v. Kwai Fun Wong,0,0,1,0,1,1,0,1,1,,,,,,,,,,,
Williams-Yulee v. Florida Bar,1,0,0,0,1,1,0,1,1,,,,,,,,,,,
"Mach Mining, LLC v. EEOC",1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Bullard v. Blue Hills Bank,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Harris v. Viegelahn,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Tibble v. Edison Int'l,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Coleman v. Tollefson,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Comptroller of Treasury of Md. v. Wynne,1,0,1,0,0,1,1,1,0,,,,,,,,,,,
City and County of San Francisco v. Sheehan,1,0,1,1,1,1,1,1,0,,,,,,,,,,,
article=Henderson v. United States (2015),1,1,1,1,1,1,1,1,1,,,,,,,,,,,
