,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
rehnquist,1,0.59322034,0.81840194,0.81113801,0.86924939,0.64891041,0.81355932,0.64164649,0.66828087,0.738744349,0.711442441,0.73284907,0.75676998
stevens,0.59322034,1,0.69634703,0.55663825,0.65408039,0.81344307,0.52862363,0.79902558,0.80389769,0.62745098,0.55613577,0.75,0.701518338
o'connor,0.81840194,0.69634703,1,0.72374429,0.79452055,0.75570776,0.69863014,0.73059361,0.7739726,0.92,0.735742804,0.742125656,0.757919208
scalia,0.81113801,0.55663825,0.72374429,1,0.75412541,0.58984911,0.8539604,0.58133774,0.580033,0.82853567,0.75839793,0.60248447,0.64615385
kennedy,0.86924939,0.65408039,0.79452055,0.75412541,1,0.70781893,0.73432343,0.6895128,0.72277228,0.82227785,0.77131783,0.73913043,0.75641026
souter,0.64891041,0.81344307,0.75570776,0.58984911,0.70781893,1,0.59670782,0.87654321,0.84224966,0.65506329,0.63573883,0.701044105,0.711802319
thomas,0.81355932,0.52862363,0.69863014,0.8539604,0.73432343,0.59670782,1,0.56069364,0.56188119,0.78222778,0.79586563,0.57142857,0.58461538
ginsburg,0.64164649,0.79902558,0.73059361,0.58133774,0.6895128,0.87654321,0.56069364,1,0.85631709,0.63784461,0.59637775,0.84232365,0.89203085
breyer,0.66828087,0.80389769,0.7739726,0.580033,0.72277228,0.84224966,0.56188119,0.85631709,1,0.68210263,0.65762274,0.85300207,0.88461538
roberts,0.738744349,0.62745098,0.92,0.82853567,0.82227785,0.65506329,0.78222778,0.63784461,0.68210263,1,0.82687339,0.69358178,0.68974359
alito,0.711442441,0.55613577,0.735742804,0.75839793,0.77131783,0.63573883,0.79586563,0.59637775,0.65762274,0.82687339,1,0.60869565,0.60769231
sotomayor,0.73284907,0.75,0.742125656,0.60248447,0.73913043,0.701044105,0.57142857,0.84232365,0.85300207,0.69358178,0.60869565,1,0.88717949
kagan,0.75676998,0.701518338,0.757919208,0.64615385,0.75641026,0.711802319,0.58461538,0.89203085,0.88461538,0.68974359,0.60769231,0.88717949,1
