names,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan,,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
Artuz v. Bennett,1,1,1,1,1,1,1,1,1,,,,,rehnquist,413,245,338,335,359,268,336,265,276,0,0,0,0
article=Cleveland v. United States (2000),1,1,1,1,1,1,1,1,1,,,,,stevens,245,821,305,457,537,593,434,656,660,256,213,69,0
Sinkfield v. Kelley,1,1,1,1,1,1,1,1,1,,,,,o'connor,338,305,438,317,348,331,306,320,339,23,0,0,0
Indianapolis v. Edmond,0,1,1,0,1,1,0,1,1,,,,,scalia,335,457,317,999,765,430,857,574,578,492,427,167,116
Eastern Associated Coal Corp. v. Mine Workers,1,1,1,0.5,1,1,0.5,1,1,,,,,kennedy,359,537,348,765,999,516,747,681,711,492,439,200,134
Bush v. Palm Beach County Canvassing Bd.,1,1,1,1,1,1,1,1,1,,,,,souter,268,593,331,430,516,729,435,639,614,207,185,0,0
Green Tree Financial Corp.-Ala. v. Randolph,1,1,1,1,1,1,1,1,1,,,,,thomas,336,434,306,857,747,435,999,564,563,468,440,164,111
Bush v. Gore,1,0,1,1,1,0,1,0,0,,,,,ginsburg,265,656,320,574,681,639,564,999,851,373,346,223,153
Solid Waste Agency of Northern Cook Cty. v. Army Corps of Engineers,1,0,1,1,1,0,1,0,0,,,,,breyer,276,660,339,578,711,614,563,851,999,390,378,226,152
Glover v. United States,1,1,1,1,1,1,1,1,1,,,,,roberts,0,256,23,492,492,207,468,373,390,586,476,193,127
Gitlitz v. Commissioner,1,1,1,1,1,1,1,1,0,,,,,alito,0,213,0,427,439,185,440,346,378,476,561,171,115
article=Fiore v. White (2001),1,1,1,1,1,1,1,1,1,,,,,sotomayor,0,69,0,167,200,0,164,223,226,193,171,270,156
Lopez v. Davis,0,0,1,1,0,1,1,1,1,,,,,kagan,0,0,0,116,134,0,111,153,152,127,115,156,178
Seling v. Young,1,0,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
"City News & Novelty, Inc. v. Waukesha",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Brentwood Academy v. Tennessee Secondary School Athletic Assn.,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
